Cedula,Nombre ,Fecha de nacimiento,Genero,Zona Geografica,Clasificacion RiskCentral,Email
15048770,Pablo,5/3/1998,Male,GEO_1,3,Pablo@paigo.com.uy
25994569,Walter,12/8/1943,Male,GEO_1,2,Walter@paigo.com.uy
23287502,Ana,11/24/1944,Female,GEO_1,2,Ana@paigo.com.uy
39879451,Fernando,7/11/1946,Male,GEO_1,4,Fernando@paigo.com.uy
31839567,Maria,11/21/1946,Female,GEO_1,2,Maria@paigo.com.uy
27774988,Diana Ines,1/28/1947,Female,GEO_1,1,Diana ines@paigo.com.uy
11845072,Aida,5/8/1951,Female,GEO_1,3,Aida@paigo.com.uy
24550478,Luis,12/2/1951,Male,GEO_1,4,Luis@paigo.com.uy
23118736,Rubén Héctor,6/27/1953,Male,GEO_1,2,Rubén Héctor@paigo.com.uy
36288492,Nelson,11/23/1985,Male,GEO_1,5,Nelson@paigo.com.uy
24879182,Maria,7/28/1955,Female,GEO_1,4,Maria@paigo.com.uy
29019882,María,12/6/1956,Male,GEO_1,5,María@paigo.com.uy
30150902,Ricardo,3/24/1962,Male,GEO_1,4,Ricardo@paigo.com.uy
27854595,Eduardo,8/14/1957,Male,GEO_1,4,Eduardo@paigo.com.uy
30801836,Mary,8/26/1957,Female,GEO_1,5,Mary@paigo.com.uy
12463695,Javier,5/12/1984,Male,GEO_1,7,Javier@paigo.com.uy
37156289,Mario,3/20/1958,Male,GEO_1,1,Mario@paigo.com.uy
19567197,Alejandra,7/24/1958,Female,GEO_1,5,Alejandra@paigo.com.uy
18278363,Gustavo,1/15/1959,Male,GEO_1,2,Gustavo@paigo.com.uy
26621358,Estela,9/28/1959,Female,GEO_1,4,Estela@paigo.com.uy
10820016,Lourdes,10/31/1959,Female,GEO_1,5,Lourdes@paigo.com.uy
13852663,Carlos,12/8/1961,Male,GEO_1,2,Carlos@paigo.com.uy
12982029,Heber,12/9/1961,Male,GEO_1,3,Heber@paigo.com.uy
31635238,Susana,12/17/1961,Female,GEO_1,2,Susana@paigo.com.uy
35595347,Rosina,6/14/1962,Female,GEO_1,4,Rosina@paigo.com.uy
33508666,Julio,8/7/1970,Male,GEO_1,5,Julio@paigo.com.uy
36501518,Jose,8/19/1966,Male,GEO_1,5,Jose@paigo.com.uy
39051488,Luis,11/24/1964,Male,GEO_1,3,Luis@paigo.com.uy
39189278,Fernando,3/24/1965,Male,GEO_1,2,FERNANDO@paigo.com.uy
38179366,Adriana,7/17/1967,Female,GEO_1,2,Adriana@paigo.com.uy
25948007,Orlando,12/2/1967,Male,GEO_1,4,Orlando@paigo.com.uy
